name;value;int_type;description
INITIAL_GREETING;Добро пожаловать в HR Bot!;False;Стартовое приветствие
ERROR_USER_NOT_FOUND;Ошибка получения статуса пользователя. Пользователь отсутствует либо заблокирован.;False;Ошибка получения пользователя
INVITATION_TO_EXPLORE_THE_MENU;Выберите интересующий Вас вопрос из справочника;False;Приглашение изучить меню
INVITATION_TO_SEND_MESSAGE;Введите свой вопрос одним сообщением;False;Приглашение отправить сообщение
SUCCESS_MESSAGE_SENT;Сообщение успешно отправлено. Ожидайте ответа. Для отправки нового сообщения выберите команду /message;False;Подтверждение успешной отправки сообщения
ERROR_MESSAGE_TOO_LONG;Длина сообщения превышает ограничение в 2048 символов. Направьте сообщение повторно.;False;Ошибка - сообщение слишком длинное
ERROR_MESSAGE_NOT_EXPECTED;Для отправки сообщения выберите команду /message. Данное сообщение не было отправлено;False;Ошибка - сообщение не ожидается 
ERROR_MESSAGE_NOT_SENT;Ошибка отправки сообщения. Повторите попытку;False;Ошибка - сообщение не отправлено
OPERATION_CANCELLED;Операция отменена;False;Операция отменена
HELP_BUTTON_TEXT;Данный бот позволяет ознакомиться с типовыми кадровыми вопросами из справочника, а также направить Ваш вопрос менеджеру. Воспользуйтесь списком команд в Меню. Бот обрабатывает только текстовые сообщения. ;False;Текст команды Помощь
INLINE_BUTTON_TEXT_MENU;Справочник;False;Заголовок Меню
INLINE_BUTTON_TEXT_MESSAGE;Сообщение;False;Заголовок Сообщение
MENU_BUTTONS_PER_INLINE_ROW;2;True;Число кнопок в ряду
MENU_BUTTONS_PER_PAGE;4;True;Число кнопок на странице
MESSAGE_TO_REPLACE_ANOTHER;Ответ получен 👍;False;Отображается взамен выбранного пользователем пункта меню
